Kota Inflasi,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014
KOTA MEULABOH,4.82,9.63,9.63,9.63,9.63,9.63,9.63,9.63,11.31,11.31,11.31,11.31
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA LHOKSEUMAWE,0.00,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MEDAN,0.00,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,2.03,2.03,2.03,2.03,2.03,2.03,2.87,2.87
KOTA PADANG,0.00,0.00,0.00,0.00,2.23,2.23,2.23,2.23,2.23,2.23,2.23,26.43
KOTA BUKITTINGGI,2.73,2.73,2.73,2.73,2.73,2.73,6.75,6.75,6.75,6.75,6.75,6.75
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEKANBARU,0.00,0.00,2.71,4.30,4.30,4.51,5.93,6.79,6.79,6.89,6.89,6.89
KOTA DUMAI,0.00,0.00,0.00,0.68,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70
BUNGO,6.12,6.12,6.12,6.12,6.12,6.12,16.14,16.14,16.14,16.14,16.14,16.14
KOTA JAMBI,0.00,1.28,1.28,1.28,1.28,1.28,5.16,5.16,5.16,5.16,5.16,5.16
KOTA PALEMBANG,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,42.83,42.83,42.83,42.83,42.83,42.83
KOTA BENGKULU,0.00,0.00,0.30,0.30,0.30,0.30,0.42,0.42,0.96,0.96,1.05,1.37
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,1.31,1.31,1.31,2.20,2.20,2.20,2.20
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,3.15,3.15,3.15,3.15,3.15,3.15
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,4.42,4.42,4.42,4.42,9.36,9.68
KOTA PANGKAL PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
DKI JAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26
KOTA BOGOR,0.00,0.42,0.42,0.42,0.42,0.42,0.42,0.42,4.25,4.25,4.25,4.25
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,1.32,1.32,1.32,1.32,1.32,1.32,1.32
KOTA CIREBON,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,2.17,2.17,5.78
KOTA DEPOK,0.00,0.00,0.00,0.00,2.06,2.06,4.12,12.79,12.79,12.79,12.79,14.37
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.23,15.23,15.23,15.23,15.23
CILACAP,0.00,0.69,1.50,1.50,1.50,1.50,3.16,3.16,13.31,16.73,17.55,17.84
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.27
KOTA SEMARANG,0.00,0.00,2.74,2.74,2.74,2.74,2.74,3.18,3.40,3.40,3.81,3.81
KOTA TEGAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.07
JEMBER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,1.76
BANYUWANGI,0.51,0.51,0.51,0.51,0.51,0.51,0.51,6.70,6.70,6.70,6.70,8.32
SUMENEP,0.00,0.19,0.19,0.19,0.19,0.19,0.19,1.78,1.78,1.78,1.78,1.78
KOTA KEDIRI,0.00,0.00,0.00,0.00,2.29,2.29,3.02,3.10,3.10,3.44,3.56,3.78
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,2.29,2.29,2.29,2.29,2.29,3.30
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,10.83,10.83,15.50,15.50,15.50,16.93
KOTA MADIUN,0.09,0.09,0.09,0.09,0.09,0.09,0.84,0.84,3.43,3.43,3.43,6.68
KOTA SURABAYA,0.12,0.89,0.89,3.86,3.86,3.86,4.16,4.16,4.21,4.21,4.21,4.21
KOTA TANGERANG,0.24,3.71,3.71,3.71,3.71,3.71,4.75,4.75,4.82,4.82,5.27,5.27
KOTA CILEGON,8.85,10.92,14.83,14.83,15.20,15.26,15.26,15.26,17.81,21.79,21.79,21.79
KOTA SERANG,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,15.76,15.76,15.76
SINGARAJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA DENPASAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MATARAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.70,14.70,14.70,14.70,14.70
KOTA BIMA,0.00,0.00,0.00,0.00,0.00,0.00,3.41,3.41,3.41,3.41,3.41,3.41
MAUMERE,42.75,43.59,43.59,43.59,43.59,43.59,43.95,43.95,43.95,43.95,43.95,43.95
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DILI,0.00,5.23,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77
KOTA PONTIANAK,0.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,2.18,2.18
KOTA SINGKAWANG,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,4.31
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.74
KOTA BANJARMASIN,0.00,5.34,5.34,5.34,5.34,5.34,5.34,5.34,7.13,7.13,7.13,7.13
KOTA BALIKPAPAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,1.96,1.96,1.96
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,13.94,41.80,41.80,41.80,41.80,41.80,43.80
KOTA TARAKAN,0.00,0.00,0.00,1.43,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.48,10.48,10.48,10.48
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.13,0.13
WATAMPONE,1.86,1.86,1.86,1.86,1.86,1.86,2.30,2.30,2.72,2.72,2.72,2.72
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PARE-PARE,0.00,0.00,0.00,0.00,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53
KOTA PALOPO,0.00,0.00,1.82,1.82,1.82,1.82,1.82,1.82,6.56,6.56,6.56,6.64
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,19.13,19.13,19.13,21.83,21.83,21.83,21.83
KOTA BAU-BAU,0.00,0.00,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
KOTA GORONTALO,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA AMBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TUAL,0.00,0.00,0.00,0.00,0.00,4.41,4.41,4.41,4.41,4.41,4.41,4.41
KOTA TERNATE,0.00,0.00,0.00,19.04,19.04,19.04,23.04,30.83,30.83,30.83,30.83,31.69
MANOKWARI,0.00,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MERAUKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA JAYAPURA,0.39,0.77,0.96,1.19,1.38,1.60,2.23,2.94,3.41,3.51,3.56,4.64
