Kota,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.84,6.34,0.00,0.00,0.00
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.46,0.00,0.00,0.00,0.00
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.46,1.79,0.00,0.00,0.00,0.00
KOTA PANGKAL PINANG,0.00,2.01,0.00,0.00,0.00,0.00,0.45,1.42,0.00,0.00,0.00,0.00
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00
DKI JAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.00,0.00,0.00,0.00
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.32,0.00,0.00,0.00,0.00
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.79,0.00,0.00,0.00,0.00
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.37,0.00,0.00,0.00,0.00
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00
CILACAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.08,0.00,0.00,0.00
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,-1.90,0.62,0.00,0.00,0.00,0.00
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.98,0.00,0.00,0.00,0.00
KOTA SEMARANG,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
KOTA TEGAL,-0.08,0.00,0.00,0.00,0.00,0.00,0.40,-0.39,0.00,-0.01,0.00,0.00
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00
JEMBER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,0.00,0.00,0.00,0.00
BANYUWANGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,0.00,0.00,0.00
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.00,0.00,0.00
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.28,0.00,0.00,0.00,0.00
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
KOTA MADIUN,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00
KOTA SURABAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.77,0.00,0.00,0.00,0.00
KOTA TANGERANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA CILEGON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SERANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SINGARAJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.00,0.00
KOTA DENPASAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.60,0.00,0.00,0.00,0.00
KOTA MATARAM,0.00,0.00,0.00,-30.90,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00
KOTA BIMA,0.00,0.00,0.00,-18.31,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
WAINGAPU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAUMERE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00
SINTANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PONTIANAK,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,0.11,0.00,0.00,0.00,0.00
KOTA SINGKAWANG,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,0.13,5.64,0.11,0.00,0.00,0.00
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.00,-0.84,0.00,0.00,0.00,0.00,0.00
KOTA BARU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BANJARMASIN,0.00,0.00,0.00,0.00,0.00,0.00,7.03,0.00,0.00,0.00,0.00,0.00
KOTA BALIKPAPAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00,0.00
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.12,0.00,0.00,0.00
TANJUNG SELOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TARAKAN,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,0.00,0.00,0.00,0.00
KOTA KOTAMOBAGU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
LUWUK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00
KOTA PARE-PARE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PALOPO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.72,0.00,0.00,0.00
KOTA BUA-BAU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA GORONTALO,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.01,0.00,0.00,0.00,0.00
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00
KOTA AMBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TUAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANOKWARI,0.99,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MERAUKE,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00
TIMIKA,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00
KOTA JAYAPURA,-4.98,0.00,0.00,0.00,0.00,0.00,0.30,-0.75,0.00,0.00,0.00,0.00
INDONESIA,-0.01,0.00,0.00,-0.10,0.00,0.00,0.17,2.07,0.05,0.00,0.00,0.00
